BASE_URL_1,BASE_URL_2,BASE_URL_3,CATALOG_ID,USERNAME,PASSWORD
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain1@certaindevoutlook.onmicrosoft.com,Niatrec1
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain2@certaindevoutlook.onmicrosoft.com,Niatrec2
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain3@certaindevoutlook.onmicrosoft.com,Niatrec3
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain4@certaindevoutlook.onmicrosoft.com,Niatrec4
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5@certaindevoutlook.onmicrosoft.com,Niatrec5
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain6@certaindevoutlook.onmicrosoft.com,Niatrec6
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain7@certaindevoutlook.onmicrosoft.com,Niatrec7
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain8@certaindevoutlook.onmicrosoft.com,Niatrec8
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain9@certaindevoutlook.onmicrosoft.com,Niatrec9
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain10@certaindevoutlook.onmicrosoft.com,Niatrec10
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain11@certaindevoutlook.onmicrosoft.com,Niatrec11
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain12@certaindevoutlook.onmicrosoft.com,Niatrec12
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain13@certaindevoutlook.onmicrosoft.com,Niatrec13
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain14@certaindevoutlook.onmicrosoft.com,Niatrec14
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain15@certaindevoutlook.onmicrosoft.com,Niatrec15
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain16@certaindevoutlook.onmicrosoft.com,Niatrec16
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain17@certaindevoutlook.onmicrosoft.com,Niatrec17
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain18@certaindevoutlook.onmicrosoft.com,Niatrec18
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain19@certaindevoutlook.onmicrosoft.com,Niatrec19
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain20@certaindevoutlook.onmicrosoft.com,Niatrec20
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain21@certaindevoutlook.onmicrosoft.com,Niatrec21
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain22@certaindevoutlook.onmicrosoft.com,Niatrec22
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain23@certaindevoutlook.onmicrosoft.com,Niatrec23
