BASE_URL_1,BASE_URL_2,BASE_URL_3,CATALOG_ID,,,USERNAME,PASSWORD
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5001,@certaindevoutlook.onmicrosoft.com,Certain5001@certaindevoutlook.onmicrosoft.com,Niatrec5001
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5002,@certaindevoutlook.onmicrosoft.com,Certain5002@certaindevoutlook.onmicrosoft.com,Niatrec5002
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5003,@certaindevoutlook.onmicrosoft.com,Certain5003@certaindevoutlook.onmicrosoft.com,Niatrec5003
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5004,@certaindevoutlook.onmicrosoft.com,Certain5004@certaindevoutlook.onmicrosoft.com,Niatrec5004
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5005,@certaindevoutlook.onmicrosoft.com,Certain5005@certaindevoutlook.onmicrosoft.com,Niatrec5005
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5006,@certaindevoutlook.onmicrosoft.com,Certain5006@certaindevoutlook.onmicrosoft.com,Niatrec5006
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5007,@certaindevoutlook.onmicrosoft.com,Certain5007@certaindevoutlook.onmicrosoft.com,Niatrec5007
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5008,@certaindevoutlook.onmicrosoft.com,Certain5008@certaindevoutlook.onmicrosoft.com,Niatrec5008
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5009,@certaindevoutlook.onmicrosoft.com,Certain5009@certaindevoutlook.onmicrosoft.com,Niatrec5009
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5010,@certaindevoutlook.onmicrosoft.com,Certain5010@certaindevoutlook.onmicrosoft.com,Niatrec5010
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5011,@certaindevoutlook.onmicrosoft.com,Certain5011@certaindevoutlook.onmicrosoft.com,Niatrec5011
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5012,@certaindevoutlook.onmicrosoft.com,Certain5012@certaindevoutlook.onmicrosoft.com,Niatrec5012
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5013,@certaindevoutlook.onmicrosoft.com,Certain5013@certaindevoutlook.onmicrosoft.com,Niatrec5013
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5014,@certaindevoutlook.onmicrosoft.com,Certain5014@certaindevoutlook.onmicrosoft.com,Niatrec5014
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5015,@certaindevoutlook.onmicrosoft.com,Certain5015@certaindevoutlook.onmicrosoft.com,Niatrec5015
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5016,@certaindevoutlook.onmicrosoft.com,Certain5016@certaindevoutlook.onmicrosoft.com,Niatrec5016
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5017,@certaindevoutlook.onmicrosoft.com,Certain5017@certaindevoutlook.onmicrosoft.com,Niatrec5017
